Name,Age,Address
Emma,38.0,Paris
Sophia,22.0,New York
Mike,35.0,Madrid
Sophia,52.0,New York
James,,Paris
Alice,44.0,Sydney
Olivia,34.0,Berlin
David,59.0,Berlin
Emma,26.0,Rome
Mike,52.0,Tokyo
David,23.0,Sydney
David,21.0,Rome
Alice,28.0,Toronto
David,,Moscow
John,,Sydney
John,21.0,Rome
Bob,44.0,Moscow
David,49.0,Madrid
Eve,53.0,Moscow
Laura,,New York
James,60.0,Moscow
Emma,25.0,Moscow
Olivia,49.0,Tokyo
David,28.0,Paris
Emma,41.0,Berlin
Mike,37.0,Sydney
Alice,47.0,Paris
Emma,60.0,Rome
Emma,31.0,Rome
John,50.0,New York
Alice,24.0,Sydney
David,,Sydney
Bob,33.0,London
Mike,38.0,New York
Eve,,Madrid
Sophia,,Tokyo
Bob,47.0,Sydney
James,52.0,Madrid
Sophia,60.0,Paris
Sophia,42.0,Sydney
Eve,45.0,Rome
James,44.0,Paris
David,49.0,Tokyo
James,59.0,New York
Sophia,43.0,London
Eve,60.0,Berlin
Emma,44.0,
Olivia,60.0,New York
Laura,25.0,London
Eve,,Moscow
Olivia,43.0,Rome
John,53.0,Moscow
Sophia,,Toronto
Emma,20.0,Toronto
John,59.0,Tokyo
John,39.0,Toronto
Emma,,Toronto
Laura,,New York
Alice,25.0,Sydney
Laura,,Paris
Eve,56.0,Paris
Laura,47.0,Berlin
Mike,53.0,Paris
David,,Toronto
Bob,21.0,London
David,54.0,
Mike,50.0,London
Alice,52.0,Paris
James,39.0,Berlin
Sophia,21.0,Sydney
Sophia,24.0,
David,20.0,Rome
Laura,41.0,Paris
Laura,20.0,Madrid
Olivia,27.0,Paris
Laura,57.0,Rome
John,28.0,Sydney
Sophia,47.0,New York
Bob,43.0,Madrid
